tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1991-0374,ITF Bamberg,Carpet,32,C,19910107,1,200596,2,,Sabine Krein Auer,U,,GER,24.2,235043,,,Csilla Dobo,U,,HUN,,6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,,251,2,,
1991-0374,ITF Bamberg,Carpet,32,C,19910107,2,201748,,,Renata Kochta,U,,GER,17.7,201966,,,Natalie Tschan,U,,SUI,19.2,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,409,0,423,0
1991-0374,ITF Bamberg,Carpet,32,C,19910107,3,202068,,,Petra Raclavska,U,,CZE,17.8,204749,4,,Jitka Dubcova,U,,TCH,19.5,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,547,0,308,1
1991-0374,ITF Bamberg,Carpet,32,C,19910107,4,213183,,,Katja Meichelbock,U,,GER,18.0,202067,8,,Alice Nohacova,U,,TCH,23.5,5-7 6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,528,0,382,0
1991-0374,ITF Bamberg,Carpet,32,C,19910107,5,213114,,,Marlies Reinders,U,,NED,17.6,200051,5,,Irina Spirlea,R,175,ROU,16.7,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,544,0,316,1
1991-0374,ITF Bamberg,Carpet,32,C,19910107,6,201744,,,Caroline Schneider,U,,GER,17.6,213182,,,Ulrike Przysucha,U,,GER,17.7,1-6 6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,460,0,599,0
1991-0374,ITF Bamberg,Carpet,32,C,19910107,7,213153,,,Merete Stockmann Balling,U,,DEN,20.0,213054,,,Michaela Kriebel,U,,GER,20.0,6-7 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,561,0,,
1991-0374,ITF Bamberg,Carpet,32,C,19910107,8,201715,3,,Heike Thoms,U,,GER,22.1,203805,,,Laurence Duffaud,U,,FRA,15.6,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,313,1,551,0
1991-0374,ITF Bamberg,Carpet,32,C,19910107,9,202171,7,,Klara Blahova,U,,CZE,17.7,213203,,,Gabriela Vesela,U,,CZE,18.8,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,359,1,,
1991-0374,ITF Bamberg,Carpet,32,C,19910107,10,200671,,,Meike Babel,R,173,GER,16.1,204191,,,Monika Kratochvilova,U,,CZE,16.8,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,511,0,422,0
