tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1954-1001,Monte Carlo Country Club,,,W,19531231,1,226151,,,Joan Curry,U,,GBR,,200815,,,Roberta Beltrame,R,,ITA,15.7015742642,6-2 6-2,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1954-1001,Monte Carlo Country Club,,,W,19531231,2,226742,,,Nicole Broccardo,U,,BEL,,230333,,,Juliette Borghini,U,,FRA,,6-3 5-7 6-3,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1954-1001,Monte Carlo Country Club,,,W,19531231,3,226151,,,Joan Curry,U,,GBR,,226742,,,Nicole Broccardo,U,,BEL,,6-3 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,
1954-1002,Sydney County,Grass,,W,19540114,1,226296,,,Mary Carter Reitano,R,,AUS,19.1266255989,228209,,,Beth Jones,U,,AUS,,6-1 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,
1954-1003,Cape Town,,,W,19540104,1,227729,,,Dora Kilian,U,,RSA,18.8364134155,229123,,,Sissy Madden,U,,USA,30.9541409993,UNK,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1954-1003,Cape Town,,,W,19540104,2,201099,,,Jean Forbes,U,,RSA,14.2833675565,230334,,, Sullivan,U,,RSA,,UNK,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1954-1003,Cape Town,,,W,19540104,3,227729,,,Dora Kilian,U,,RSA,18.8364134155,201099,,,Jean Forbes,U,,RSA,14.2833675565,7-5 11-9,3,F,,,,,,,,,,,,,,,,,,,,,,,
1954-1004,Tampa,Clay,,W,19540104,1,227116,,,Laura Lou Jahn,R,,USA,20.6351813826,225174,,,Sara Mae Turber,U,,USA,34.8610540726,6-2 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1954-1004,Tampa,Clay,,W,19540104,2,227944,,,Mariette Laframboise,U,,CAN,,227268,,,Mary Louise Fowler,U,,USA,,6-3 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1954-1004,Tampa,Clay,,W,19540104,3,227152,,,Evelyn Cowan Clark,U,,USA,26.8665297741,224178,,,Mildred Johnson,U,,USA,,6-2 4-6 8-6,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1954-1004,Tampa,Clay,,W,19540104,4,228571,,,Julie Copeland,U,,USA,29.5934291581,227115,,,Maggie Beeland,U,,USA,32.2847364819,6-3 6-1,3,QF,,,,,,,,,,,,,,,,,,,,,,,
