tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,001,201542,,,Olivia Rogowska,R,,AUS,27.5674195756,244,233,214535,,WC,Petra Hule,U,,AUS,19.8247775496,,,6-2 6-2,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,002,204412,9,,Belinda Woolcock,R,,AUS,23.9342915811,674,15,216156,,,Himari Sato,U,,JPN,16.7255304586,809,6,6-2 6-1,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,003,206408,,,Nadia Podoroska,U,,ARG,21.8863791923,304,149,221761,,WC,Charlotte Kempenaers Pocz,U,,AUS,14.302532512,,,6-2 6-0,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,004,215189,,,Alana Parnaby,U,,AUS,24.2929500342,793,8,221125,12,,Bojana Marinkov,U,,AUS,17.8179329227,776,8,6-3 6-2,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,005,202539,,,Alison Bai,R,,AUS,28.9500342231,384,89,220353,,,Lisa Mays,R,,AUS,18.2231348392,846,3,6-1 6-1,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,006,221362,10,,Hiromi Abe,U,,JPN,18.6639288159,692,14,215103,,,Yasmina El Sayed,R,,GBR,22.5927446954,,,6-2 6-0,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,007,211544,,,Nagi Hanatani,U,,JPN,23.819301848,410,77,220052,,,Isabella Bozicevic,U,,AUS,17.1334702259,846,3,7-6(4) 6-1,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,008,219940,11,,Ivana Popovic,U,,AUS,18.2806297057,756,10,206271,,,Chisa Hosonuma,U,,JPN,22.765229295,846,3,3-6 6-3 [10-4],3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,009,202495,,,Jennifer Elie,R,,USA,32.2737850787,450,59,220905,,,Tayla Whitehouse,R,,AUS,17.440109514,,,6-2 6-0,3,Q1,,
2019-W-ITF-AUS-01A-2019,W25 Playford,Hard,32,S,20181231,010,220392,8,,Punnin Kovapitukted,U,,THA,15.9014373717,659,17,219740,,,Madison Frahn,U,,AUS,22.8117727584,,,6-1 6-4,3,Q1,,
