tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1984-1001,ITF Chicago,Hard,,C,19840102,1,201042,1,,Andrea Tiezzi,U,,ARG,19.0,201259,,,Sonoe Yonezawa,U,155,JPN,34.3,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,166,,,
1984-1001,ITF Chicago,Hard,,C,19840102,2,201894,,,Kylie Copeland,U,,USA,22.6,201716,,,Catherine Bonnet,U,,FRA,18.8,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1984-1001,ITF Chicago,Hard,,C,19840102,3,200557,,,Katrina Adams,R,165,USA,15.4,200470,,,Dee Ann Hansel,U,,USA,21.5,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1984-1001,ITF Chicago,Hard,,C,19840102,4,200679,,,Caroline Kuhlman,U,,USA,17.3,202057,5,,Andrea Pesak,U,,AUT,22.1,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1984-1001,ITF Chicago,Hard,,C,19840102,5,202079,4,,Kathy Obrien,U,,USA,24.0,200487,,,Eva Krapl,R,180,SUI,17.9,2-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1984-1001,ITF Chicago,Hard,,C,19840102,6,201011,,,Natasha Reva,U,,URS,18.3,200586,,,Federica Bonsignori,U,,ITA,16.1,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,213,
1984-1001,ITF Chicago,Hard,,C,19840102,7,213034,,,Jane Holden,U,,USA,17.0,200438,,,Michaela Washington,U,,USA,17.8,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1984-1001,ITF Chicago,Hard,,C,19840102,8,200486,6,,Csilla Cserepy,U,,SUI,17.7,201712,,,Karin Moos,U,,NED,22.8,6-1 5-7 6-2,3,R32,,,,,,,,,,,,,,,,,,,,200,,,
1984-1001,ITF Chicago,Hard,,C,19840102,9,201033,8,,Kristin Kinney,U,,USA,24.3,201000,,,Nathalie Phan Thanh,U,,FRA,16.7,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,232,
1984-1001,ITF Chicago,Hard,,C,19840102,10,200468,,,Hu Na,U,,USA,20.7,200513,,,Pamela Jung,U,,USA,20.5,6-4 3-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,206,,,
