tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1934-1409,Sydney,Grass,,W,19341124,201,238396,,,Thelma Rice,U,,AUS,,238315,,,June Colless,U,,AUS,,4-6 7-5 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1409,Sydney,Grass,,W,19341124,202,241778,,,Dulcie Eldridge,U,,AUS,,241134,,,Peggy Colbert,U,,AUS,,6-3 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1409,Sydney,Grass,,W,19341124,203,238234,,,Helen Bowker,U,,AUS,,241776,,,Mrs Donaldson,U,,AUS,,6-4 3-6 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1409,Sydney,Grass,,W,19341124,204,241123,,,Pauline Spencer Parsons,U,,AUS,,243110,,,C Mack,U,,AUS,,6-4 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1409,Sydney,Grass,,W,19341124,205,238396,,,Thelma Rice,U,,AUS,,241778,,,Dulcie Eldridge,U,,AUS,,6-1 5-7 6-2,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1934-1409,Sydney,Grass,,W,19341124,206,241123,,,Pauline Spencer Parsons,U,,AUS,,238234,,,Helen Bowker,U,,AUS,,6-4 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1934-1409,Sydney,Grass,,W,19341124,207,242504,,,Marcia Chew,U,,AUS,,243111,,,J Bruce,U,,AUS,,4-6 6-4 7-5,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1934-1409,Sydney,Grass,,W,19341124,208,237501,,,Beth Peach,U,,AUS,,243074,,,S Crookston,U,,AUS,,3-6 6-3 6-3,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1934-1421,Los Angeles Metro,Hard,,W,19340107,201,243050,,,Grace Fetheroff,U,,USA,,243117,,, Hjelte,U,,USA,,6-1 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1421,Los Angeles Metro,Hard,,W,19340107,202,241556,,,Dorothy Pettes,U,,USA,,243118,,,Dorothy Jensen,U,,USA,,6-3 2-6 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1421,Los Angeles Metro,Hard,,W,19340107,203,242221,,,Blanche Curtin,U,,USA,,232705,,,Jacque Virgil,U,,USA,,6-2 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1421,Los Angeles Metro,Hard,,W,19340107,204,233365,,,June Crow,U,,USA,,231848,,,Ruby Bixler,U,,USA,20.3367556468,W/O,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1421,Los Angeles Metro,Hard,,W,19340107,205,237514,,,May Doeg,R,,USA,17.6098562628,241864,,,Priscilla Merwin,U,,USA,,7-5 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1934-1421,Los Angeles Metro,Hard,,W,19340107,206,236503,,,Gertrude Dockstader,U,,USA,,234686,,,Jane Stanton,U,,USA,,6-1 6-1,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1934-1421,Los Angeles Metro,Hard,,W,19340107,207,229942,,,Eunice Dean,U,,USA,28.7912388775,233435,,,Peggy Kerr,U,,USA,,8-6 6-3,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
