tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1995-0474,ITF Mission,Hard,32,C,19950109,1,202982,3,,Ingrid Kurta,U,,USA,21.6043805613,213417,,,Roseann Alva,U,,USA,23.8658453114,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,424,1,,
1995-0474,ITF Mission,Hard,32,C,19950109,2,203828,,,Margaret Redfearn,U,,USA,34.2422997947,235874,,,Alena Cano,U,,USA,,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,766,0,,
1995-0474,ITF Mission,Hard,32,C,19950109,3,216748,,,Julie Mckeon,U,,USA,23.5865845311,203072,,,Jennifer Poulos,U,,USA,21.0321697467,6-7(3) 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1995-0474,ITF Mission,Hard,32,C,19950109,4,213375,,,Anastasia Pozdnyakova,U,,GEO,17.1800136893,201922,4,,Stephanie Tibbits,U,,CAN,19.8685831622,7-6(6) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,443,1
1995-0474,ITF Mission,Hard,32,C,19950109,5,203009,,,Sara Pritchard,U,,USA,17.9876796715,204193,,,Dominika Gerwin,U,,POL,17.6262833676,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,782,0
1995-0474,ITF Mission,Hard,32,C,19950109,6,204116,,,Laura Richards,U,,USA,22.7049965777,236331,,,Andrea Hernandez,U,,USA,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1995-0474,ITF Mission,Hard,32,C,19950109,7,201809,8,,Hila Rosen,R,,ISR,17.3442847365,202746,,,Natalie Cahana,R,,ISR,16.1040383299,6-0 6-0,3,R32,,,,,,,,,,,,,,,,,,,,492,1,676,0
1995-0474,ITF Mission,Hard,32,C,19950109,8,207769,,,Claire Sessions Bailey,U,,USA,24.6214921287,204769,,,Oshri Shashua,U,,ISR,17.0212183436,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1995-0474,ITF Mission,Hard,32,C,19950109,9,204060,5,,Varalee Sureephong,U,,USA,18.688569473,204172,,,Jody Yin,U,,USA,23.1321013005,1-6 6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,455,1,588,0
1995-0474,ITF Mission,Hard,32,C,19950109,10,213373,,,Farley Taylor,U,,USA,20.076659822,202230,,,Mami Donoshiro,U,,JPN,19.8412046543,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1995-0474,ITF Mission,Hard,32,C,19950109,11,204498,7,,Shiri Burstein,U,,ISR,20.0958247775,212580,,,Lamia Alami,U,,MAR,19.9534565366,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,,480,1,638,0
1995-0474,ITF Mission,Hard,32,C,19950109,12,201087,2,,Mashona Washington,R,,USA,18.6091718001,203976,,,Linda Smaira,U,,CAN,17.7522245038,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,407,1,,
1995-0474,ITF Mission,Hard,32,C,19950109,13,204124,,,Jennifer Callen,U,,USA,22.7323750856,202717,,,Katarina Misic,U,,SRB,18.9267624914,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,640,0
1995-0474,ITF Mission,Hard,32,C,19950109,14,202945,6,,Kori Davidson,U,,USA,21.1882272416,202048,,,Liza Andriyani,R,,INA,15.9069130732,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,463,1,698,0
1995-0474,ITF Mission,Hard,32,C,19950109,15,201019,1,,Melissa Gurney,U,,USA,25.5441478439,207786,,,Callie Creighton,U,,USA,17.4976043806,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,,366,2,,
1995-0474,ITF Mission,Hard,32,C,19950109,16,204005,,,Kim Grant,R,,RSA,23.6933607118,203977,,,Diana Valenti,U,,USA,26.7488021903,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,,541,1,796,0
1995-0474,ITF Mission,Hard,32,C,19950109,17,202982,3,,Ingrid Kurta,U,,USA,21.6043805613,204116,,,Laura Richards,U,,USA,22.7049965777,4-6 6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,,424,1,,
1995-0474,ITF Mission,Hard,32,C,19950109,18,216748,,,Julie Mckeon,U,,USA,23.5865845311,204060,5,,Varalee Sureephong,U,,USA,18.688569473,6-0 0-6 6-1,3,R16,,,,,,,,,,,,,,,,,,,,,,455,1
1995-0474,ITF Mission,Hard,32,C,19950109,19,203009,,,Sara Pritchard,U,,USA,17.9876796715,201809,8,,Hila Rosen,R,,ISR,17.3442847365,6-7(3) 6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,492,1
1995-0474,ITF Mission,Hard,32,C,19950109,20,207769,,,Claire Sessions Bailey,U,,USA,24.6214921287,213375,,,Anastasia Pozdnyakova,U,,GEO,17.1800136893,6-2 6-7(5) 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1995-0474,ITF Mission,Hard,32,C,19950109,21,213373,,,Farley Taylor,U,,USA,20.076659822,202945,6,,Kori Davidson,U,,USA,21.1882272416,6-4 3-6 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,463,1
1995-0474,ITF Mission,Hard,32,C,19950109,22,204498,7,,Shiri Burstein,U,,ISR,20.0958247775,204005,,,Kim Grant,R,,RSA,23.6933607118,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,480,1,541,1
1995-0474,ITF Mission,Hard,32,C,19950109,23,201087,2,,Mashona Washington,R,,USA,18.6091718001,203828,,,Margaret Redfearn,U,,USA,34.2422997947,6-1 6-3,3,R16,,,,,,,,,,,,,,,,,,,,407,1,766,0
1995-0474,ITF Mission,Hard,32,C,19950109,24,204124,,,Jennifer Callen,U,,USA,22.7323750856,201019,1,,Melissa Gurney,U,,USA,25.5441478439,6-1 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,366,2
1995-0474,ITF Mission,Hard,32,C,19950109,25,202982,3,,Ingrid Kurta,U,,USA,21.6043805613,213373,,,Farley Taylor,U,,USA,20.076659822,6-3 6-3,3,QF,,,,,,,,,,,,,,,,,,,,424,1,,
1995-0474,ITF Mission,Hard,32,C,19950109,26,203009,,,Sara Pritchard,U,,USA,17.9876796715,207769,,,Claire Sessions Bailey,U,,USA,24.6214921287,7-6(4) 6-0,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1995-0474,ITF Mission,Hard,32,C,19950109,27,204498,7,,Shiri Burstein,U,,ISR,20.0958247775,204124,,,Jennifer Callen,U,,USA,22.7323750856,6-4 6-2,3,QF,,,,,,,,,,,,,,,,,,,,480,1,,
