player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
200105,Rachel,Mcquillan,U,19711202,AUS,,Q455711
200106,Angeles,Montolio,R,19750806,ESP,,Q2626756
200107,Paola,Suarez,R,19760623,ARG,170,Q229474
200108,Elena,Dementieva,R,19811015,RUS,180,Q11667
200109,Nathalie,Dechy,R,19790221,FRA,177,Q229831
200110,Fabiola,Zuluaga,R,19790107,COL,,Q237467
200111,Lina,Krasnoroutskaya,R,19840429,RUS,,Q2419020
200112,Julie,Halard Decugis,R,19700910,FRA,,Q241320
200113,Anna,Kournikova,R,19810607,RUS,173,Q131120
200114,Patricia,Wartusch,R,19780805,AUT,,Q271724
200115,Brie,Rippner,R,19800121,USA,,Q849668
200116,Natalia,Zvereva,R,19710416,BLR,,Q233243
200117,Kveta,Peschke,R,19750709,CZE,165,Q234480
200118,Virginia,Ruano Pascual,R,19730921,ESP,169,Q229093
200119,Rita,Kuti Kis,L,19780213,HUN,,Q735029
200120,Jelena,Dokic,R,19830412,AUS,175,Q283958
200121,Alina,Jidkova,R,19770118,RUS,,Q269057
200122,Tina,Pisnik,R,19810219,SLO,,Q287267
200123,Marlene,Weingartner,R,19800130,GER,,Q70284
200124,Anne,Kremer,R,19751017,LUX,,Q234906
200125,Corina,Morariu,R,19780126,USA,,Q225589
200126,Marissa,Irvin,R,19800623,USA,,
200127,Sarah,Pitkowski Malcor,R,19751113,FRA,,Q3473420
200128,Lindsay,Davenport,R,19760608,USA,189,Q11677
200129,Lesley,Turner,R,19420816,AUS,,Q263129
200130,Dorothy,Whitely,U,,AUS,,
200131,Judith,Dibar,U,19450510,ROU,,Q22210616
200132,Kay,Williams,U,,AUS,,
200133,Eva,Duldig,R,,NED,,
200134,Kerry,Ballard,U,19491216,AUS,,Q18015513
200135,Lorraine,Coghlan,U,19370923,AUS,155,Q2019897
200136,Valerie,Caulley,U,,AUS,,
200137,L,Griffiths,U,,AUS,,
200138,Sandra,Hole,U,,AUS,,
200139,Lita,Liem,L,19460227,INA,,Q6647376
200140,Beryl,Jenkins,U,,AUS,,
200141,Wendy,Gilchrist,L,19500517,AUS,,Q17438332
200142,Loris,Butterfield,U,,AUS,,
200143,Kathleen,Harter,R,19461027,USA,,Q1563355
200144,Margaret,Court,R,19420716,AUS,175,Q202342
200145,Kerry,Harris,U,19490919,AUS,,Q454170
200146,Cynthia,Doerner,U,19510211,AUS,,Q975605
200147,Geri,Shepard,U,,USA,,
200148,Marilyn,Tesch,U,,AUS,,Q18015520
200149,Helen,Sheedy,U,,AUS,,Q18012355
200150,Evonne,Goolagong,R,19510731,AUS,,Q228559
200151,Ada,Bakker,U,19480408,NED,,Q16120147
200152,Gail,Sherriff,R,19450403,FRA,,Q461018
200153,Sheila,Washbourne,U,,AUS,,
200154,Sandra,Stephen,U,,AUS,,
200155,Lexie,Kenny,U,,AUS,,Q18012636
200156,Lynette,Mansfield,U,,AUS,,Q18012361
200157,Lynne,Nette,U,19420526,AUS,,
200158,Carol,Sherriff,U,19461020,AUS,,
200159,Rosie,Casals,R,19480916,USA,157,Q259328
200160,Judy,Tegart,R,19371212,AUS,,Q272065
200161,Janine,Whyte,U,,AUS,,
200162,Judith,Salome,U,19490210,NED,,Q19276930
200163,Helen,Oconnor,U,,AUS,,
200164,Joan,Johnson,U,,USA,,
200165,Lany,Kaligis,U,19490422,INA,,Q6487683
200166,Patricia,Edwards,U,,AUS,,
200167,Heather,Mckechnie,U,,AUS,,
200168,Karen,Krantzcke,R,19470201,AUS,188,Q299601
200169,Ann,Jenkins,U,,AUS,,
200170,Beverley,Rae,U,19291116,AUS,,
200171,Janet,Young,U,19511022,AUS,,Q3161931
200172,Caroline,Cooper,U,,AUS,,
200173,Kaye,Dening,U,,AUS,,
200174,Kerry,Wilkinson,U,,AUS,,
200175,Mary Ann,Eisel,U,19461125,USA,,Q1563951
200176,Kerry,Reid,R,19470807,AUS,,Q259288
200177,Alison,Mckenzie,U,,AUS,,
200178,Sue,Hastings,U,,AUS,,
200179,Barbara,Hawcroft,R,19501013,AUS,,Q2883960
200180,Astrid,Suurbeek,U,19470215,NED,158,Q1258713
200181,Margaret,Starr,U,,AUS,,Q18012611
200182,E,Staples,U,,AUS,,
200183,Elena,Subirats,U,19471230,MEX,,Q8774746
200184,Helen,Gourlay,R,19461223,AUS,166,Q299638
200185,Lesley,Hunt,U,19500529,AUS,,Q441468
200186,Yveline,Boy,U,,FRA,,
200187,Janine,Murdoch,U,,AUS,,
200188,Helen,Amos,U,19480630,AUS,,Q85909654
200189,Denise,Brennan,U,,AUS,,
200190,Billie Jean,King,R,19431122,USA,168,Q54527
200191,Frances,Luff,U,,AUS,,Q99657064
200192,Helen,Kayser,U,,AUS,,Q18016279
200193,Ann,Jones,L,19381007,GBR,,Q259356
200194,Francoise,Durr,R,19421225,FRA,,Q263134
200195,Helen,Rush,U,,AUS,,
200196,Kerryl,Chute,U,19450420,AUS,,
200197,Pamela,Brand,U,19441205,AUS,,
200198,Caroline,Langsford,U,,AUS,,
200199,Sally,Irvine,U,,AUS,,Q18085293
200200,Norma,Marsh,U,19360113,AUS,,Q18015494
200201,Sharon,Thomson,U,,AUS,,
200202,Theresa,Van Haren,U,,AUS,,
200203,Vicki,Lancaster Kerr,U,19510126,AUS,,
200204,Sandra,Walsham,U,,AUS,,Q18012478
200205,Judy,Harris,U,,AUS,,
200206,L,Cameron,U,,AUS,,
200207,Cheryl,Norquay,U,,AUS,,
200208,Mandy,Morgan,U,,AUS,,Q18010830
200209,Wendy,Turnbull,R,19521126,AUS,164,Q259306
200210,Norma,Eastburn,U,,AUS,,
200211,Winnie,Shaw,U,19470118,GBR,,Q2479423
200212,Elizabeth,Allan,R,19461128,AUS,,
200213,Jan,Lehane,R,19410709,AUS,,Q2640230
200214,Christina,Sandberg,R,19480111,SWE,,Q1565643
200215,Susan,Alexander,R,,AUS,,Q18012436
200216,Janet,Fallis,U,,AUS,,Q18018389
200217,Adrienne,Avis,U,19501115,AUS,,
200218,Helen,Taylor,U,,AUS,,
200219,Patricia,Coleman,U,19530513,AUS,,Q3369087
200220,Patti,Hogan,R,19491221,USA,,Q3370160
200221,Dianne,Fromholtz,L,19560810,AUS,165,Q457833
200222,Anne,Coleman,U,,AUS,,Q18016290
200223,Sharon,Walsh Pete,R,19520224,USA,174,Q461080
200224,Kati,Athorne,U,,AUS,,
200225,Helen,Worland,R,19500428,AUS,,
200226,Mona,Guerrant,U,19481128,USA,,Q3320069
200227,Diane,James,U,,AUS,,
200228,Olga,Morozova,R,19490222,URS,,Q259324
200229,Robyn,Knobel,U,,AUS,,Q18015528
200230,Patricia,Billing,U,,AUS,,
200231,Brenda,Dart,U,,AUS,,
200232,Ann,Lebedeff,U,19510504,USA,,Q18016300
200233,Chris,Matison,R,19511029,AUS,,Q2965954
200234,Pam,Whytcross,U,19531125,AUS,,Q445451
200235,Maureen,Mccalman,U,,AUS,,
200236,Patricia,King,U,,AUS,,
200237,Virginia,Wade,R,19450710,GBR,170,Q233234
200238,Nathalie,Fuchs,U,19520903,FRA,,Q3336584
200239,Kathy,Walker,U,,AUS,,
200240,Eugenia,Birioukova,U,19521218,AZE,,Q3059579
200241,Duk Hee,Lee,U,19530713,KOR,,Q625153
200242,Helen,Young,U,,AUS,,
200243,Glynis,Coles,R,19540220,GBR,,Q3109370
200244,Moira,Whitely,U,,AUS,,
200245,Soon Oh,Lee,U,19531004,KOR,,
200246,Leslie,Walker,U,,AUS,,
200247,Dorte,Ekner,U,19510502,DEN,,Q17370678
200248,Marion,Proisy,U,,FRA,,
200249,Joan,Walker,U,,ZIM,,
200250,Lindsay,Blachford,U,19530406,GBR,,Q59753362
200251,Kazuko,Sawamatsu,U,19510105,JPN,174,Q447231
200252,Monique,Van Haver,U,19480831,BEL,,Q17371506
200253,Kiyoko,Nomura,U,19541117,JPN,,
200254,Michele,Gurdal,U,19521130,BEL,,Q674358
200255,Lesley,Charles,U,19520715,GBR,,Q3236673
200256,Chris,Oneil,R,19560319,AUS,,
200257,Helen,Crozier,U,,AUS,,
200258,Jeong Soon,Yang,U,19470226,KOR,,
200259,Chris,Evert,R,19541221,USA,168,Q14286
200260,Katerleen,Szeman,U,19561127,HUN,,
200261,Toshiko,Sade,U,19470308,JPN,,
200262,Jenny,Walker,U,19560409,AUS,,Q17362391
200263,Janet,Newberry,R,19530806,USA,170,Q3161924
200264,Helena,Anliot,R,19560926,SWE,168,Q3129593
200265,Lindsey,Beaven,U,19500101,GBR,,Q18015341
200266,Sue,Barker,R,19560419,GBR,165,Q239774
200267,Isabelle,Larsson,U,,SWE,,
200268,Frances,Candy,U,,AUS,,
200269,Jill,Schwikert,U,19540519,USA,,Q18010026
200270,Nellemieke,Brouwer,U,19520101,NED,,
200271,Margareta,Strandberg,U,19510320,SWE,,Q61670796
200272,Brenda,Dale,U,19410917,AUS,,
200273,Nerida,Gregory,U,19560513,AUS,,Q3338340
200274,Julie,Heldman,R,19451208,USA,170,Q1293027
200275,Ann,Kiyomura Hayashi,R,19550822,USA,,Q458438
200276,J D,Griffiths,U,,AUS,,
200277,Anneloes,Schothurst,U,,NED,,
200278,Sally,Arnott,U,,AUS,,
200279,Gail,Williams,U,,AUS,,
200280,Joy,Schwikert,U,19540519,USA,,Q18010000
200281,Jackie,Fayter,U,19510610,GBR,,Q3157398
200282,Jenny,Dimond,U,19551113,AUS,,Q86135385
200283,Pam,Teeguarden,R,19510417,USA,178,Q461253
200284,Nora,Blom,U,19510222,NED,,
200285,Mimi,Wikstedt,U,19540430,SWE,,Q3314609
200286,Peggy,Michel,R,19490202,USA,,Q299610
200287,Miki,Yokobori,U,19750513,JPN,,
200288,Sue,Mappin,R,19470711,GBR,,Q3502956
200289,Chris,Cerato,U,,AUS,,
200290,Deborah,Fiuza,U,19540819,POR,,
200291,Dianne,Evers,R,19561109,AUS,,Q430332
200292,Vivicca,Andersson,U,,SWE,,
200293,Martina,Navratilova,L,19561018,USA,173,Q54545
200294,Gwen,Stirton,U,,AUS,,
200295,Ai,Iida,U,,JPN,,
200296,Belinda,Thompson,U,19560503,GBR,,
200297,Natasha,Chmyreva,U,19580528,URS,,Q15836320
200298,Laura,Du Pont,U,19490504,USA,,Q1565163
200299,Kaye,Hallam,U,19570324,AUS,,Q17300639
200300,Sally,Greer,U,19550325,USA,,Q62612789
200301,Lois,Raymond,U,,AUS,,
200302,Linda,Mottram,U,19570517,GBR,,Q3241364
200303,Julie,Staines,U,,AUS,,
200304,Cheree,Walker,U,,NZL,,
200305,Carol,Draper,U,19550720,AUS,,
200306,Jan,Wilton,U,19570430,AUS,,Q17361983
200307,Kerry,Neill,U,,AUS,,
200308,Kym,Ruddell,U,19550719,AUS,,Q3200951
200309,Merrilyn,Robinson,U,,AUS,,
200310,Julie,Hanrahan,U,,AUS,,
200311,Cecilia,Martinez,U,19470524,USA,,Q2943727
200312,Frederique,Thibault,U,19540602,FRA,,Q20089808
200313,Lotta,Stenberg,U,19570212,SWE,,
200314,Brigitte,Simon Glinel,U,19561101,FRA,,Q2925479
200315,Nina,Bohm,U,19580430,SWE,,Q17438808
200316,Heidi,Eisterlehner,R,19491025,GER,,Q1526139
200317,Helga,Masthoff,R,19411111,FRG,,Q469531
200318,Michelle,Tyler,U,19580708,GBR,,Q3311469
200319,Cathy,Griffiths,U,19560905,AUS,,
200320,Renata,Tomanova,R,19541209,GER,168,Q254047
200321,Elisabeth,Ekblom,U,19580210,SWE,,Q3051209
200322,Karen,Gulley,U,,AUS,,
200323,Rene,Blount,U,19570512,USA,,Q7312970
200324,Beth,Norton,U,19570613,USA,,Q2900076
200325,Leanne,Harrison Austin,U,19580410,AUS,,Q3228657
200326,Naoko,Sato,U,19550102,JPN,,Q3335842
200327,Birgitte,Hermansen,U,19560315,DEN,,
200328,Patricia,Bostrom,U,19511125,USA,,Q3369077
200329,Mary,Sawyer,U,19570611,AUS,,Q17302233
200330,Sue,Saliba,U,19571014,AUS,,Q17307783
200331,Kim,Sands,U,19561011,USA,,Q3196796
200332,Amanda,Tobin,R,19600608,AUS,168,Q17438632
200333,Betsy,Nagelsen,R,19561023,USA,175,Q293082
200334,Sabina,Simmonds,R,19600417,ITA,170,Q3460536
200335,Judy,Chaloner,U,19531118,NZL,,Q1711148
200336,Keryn,Pratt,U,19590620,AUS,,Q17362156
200337,Virginia,Ruzici,R,19550131,ROU,,Q239647
200338,Elizabeth,Little,U,19601003,AUS,,Q3051240
200339,Linda,Cassell,R,19620424,AUS,,Q17307334
200340,Marcella,Mesker,U,19590523,NED,,Q272703
200341,Jutta,Diesslin,U,19551012,FRG,,
200342,Chris,Newton,U,19560213,NZL,,Q1077600
200343,Susan,Leo,U,19620810,AUS,,Q3505588
200344,Barbara,Jordan,R,19570402,USA,165,Q53570
200345,Brenda,Catton,U,19620104,AUS,,
200346,Anne,Minter,R,19630403,AUS,,Q445472
200347,Bernadette,Randall,U,19650927,AUS,,Q20259421
200348,Hana,Mandlikova,R,19620219,AUS,,Q255011
200349,Diane,Morrison,U,19580811,USA,,
200350,Felicia,Hutnick,U,19570720,USA,,
200351,Lindsay,Morse,U,19550124,USA,,Q3241448
200352,Greer,Stevens,R,19570215,RSA,168,Q516539
200353,Lele,Forood,U,19560910,USA,,Q6520835
200354,Claudia,Kohde Kilsch,R,19631211,GER,187,Q61142
200355,Diane,Desfor,R,19550615,USA,,Q3026196
200356,Betty,Stove,R,19450624,NED,185,Q259282
200357,Rosalyn,Fairbank,R,19601102,USA,173,Q262006
200358,Marcie,Louie,U,19530910,USA,,Q3289995
200359,Christiane,Jolissaint,R,19610912,SUI,,Q2965768
